Name and status of region;;ISO;ANSI;;USPS;USCG;GPO;AP;Other
 United States of America;Federal state;US;US;0;;;U.S.;U.S.;U.S.A.
 Alabama;State;US-AL;AL;1;AL;AL;Ala.;Ala.;
 Alaska;State;US-AK;AK;2;AK;AK;Alaska;Alaska;Ak.[1]
 Arizona;State;US-AZ;AZ;4;AZ;AZ;Ariz.;Ariz.;
 Arkansas;State;US-AR;AR;5;AR;AR;Ark.;Ark.;
 California;State;US-CA;CA;6;CA;CF;Calif.;Calif.;Cal. or Ca
 Colorado;State;US-CO;CO;8;CO;CL;Colo.;Colo.;
 Connecticut;State;US-CT;CT;9;CT;CT;Conn.;Conn.;
 Delaware;State;US-DE;DE;10;DE;DL;Del.;Del.;
 District of Columbia;Federal district;US-DC;DC;11;DC;DC;D.C.;D.C.;Dis. Col.[2]
 Florida;State;US-FL;FL;12;FL;FL;Fla.;Fla.;
 Georgia;State;US-GA;GA;13;GA;GA;Ga.;Ga.;Geo.[1]
 Hawaii;State;US-HI;HI;15;HI;HA;Hawaii;Hawaii;Hi.[1]
 Idaho;State;US-ID;ID;16;ID;ID;Idaho;Idaho;Ida.[1]
 Illinois;State;US-IL;IL;17;IL;IL;Ill.;Ill.;Ills., Ill's
 Indiana;State;US-IN;IN;18;IN;IN;Ind.;Ind.;
 Iowa;State;US-IA;IA;19;IA;IA;Iowa;Iowa;Ioa.[a]
 Kansas;State;US-KS;KS;20;KS;KA;Kans.;Kan.;Ka.
 Kentucky;State;US-KY;KY;21;KY;KY;Ky.;Ky.;Ken., Kent.[b]
 Louisiana;State;US-LA;LA;22;LA;LA;La.;La.;
 Maine;State;US-ME;ME;23;ME;ME;Maine;Maine;
 Maryland;State;US-MD;MD;24;MD;MD;Md.;Md.;Mar., Mary.
 Massachusetts;State;US-MA;MA;25;MA;MS;Mass.;Mass.;
 Michigan;State;US-MI;MI;26;MI;MC;Mich.;Mich.;
 Minnesota;State;US-MN;MN;27;MN;MN;Minn.;Minn.;
 Mississippi;State;US-MS;MS;28;MS;MI;Miss.;Miss.;
 Missouri;State;US-MO;MO;29;MO;MO;Mo.;Mo.;
